,Data,Time,Home,Score,Away,Venue,Season
46,Sat 4 Dec,15:00,Bedford Blues,17-41,Northampton Saints,Goldington Road,1999-2000
47,Sat 4 Dec,15:00,Bristol Shoguns,25-38,Gloucester,Memorial Stadium,1999-2000
48,Sat 4 Dec,15:00,London Irish,26-3,Sale Sharks,Twickenham Stoop,1999-2000
49,Sun 5 Dec,15:00,London Wasps,23-21,Bath Rugby,Loftus Road,1999-2000
50,Sun 5 Dec,15:00,Newcastle Falcons,15-16,NEC Harlequins,Kingston Park,1999-2000
51,Sun 5 Dec,18:30,Saracens,36-20,Leicester Tigers,Vicarage Road,1999-2000
52,Thu 23 Dec,19:00,NEC Harlequins,16-52,London Wasps,Twickenham Stoop,1999-2000
53,Sun 26 Dec,14:15,Bath Rugby,3-13,Leicester Tigers,Recreation Ground,1999-2000
54,Sun 26 Dec,15:00,Gloucester,40-15,London Irish,Kingsholm,1999-2000
55,Sun 26 Dec,15:00,Northampton Saints,37-5,Newcastle Falcons,Franklin's Gardens,1999-2000
56,Sun 26 Dec,15:00,Sale Sharks,22-3,Bedford Blues,Heywood Road,1999-2000
57,Mon 27 Dec,13:00,Bristol Shoguns,45-22,Saracens,Memorial Stadium,1999-2000
58,Wed 29 Dec,15:00,Leicester Tigers,29-17,NEC Harlequins,Welford Road,1999-2000
59,Wed 29 Dec,19:30,London Irish,35-21,Bristol Shoguns,Twickenham Stoop,1999-2000
60,Wed 29 Dec,19:30,Newcastle Falcons,12-6,Sale Sharks,Kingston Park,1999-2000
61,Wed 29 Dec,19:45,London Wasps,15-21,Northampton Saints,Loftus Road,1999-2000
62,Thu 30 Dec,15:00,Bedford Blues,6-18,Gloucester,Goldington Road,1999-2000
63,Thu 30 Dec,15:00,Saracens,19-6,Bath Rugby,Vicarage Road,1999-2000
64,Sat 22 Jan,14:00,Gloucester,29-23,Bristol Shoguns,Kingsholm,1999-2000
65,Sat 22 Jan,14:15,Bath Rugby,27-16,London Wasps,Recreation Ground,1999-2000
66,Sat 22 Jan,15:00,Leicester Tigers,48-20,Saracens,Welford Road,1999-2000
67,Sat 22 Jan,15:00,NEC Harlequins,12-15,Newcastle Falcons,Twickenham Stoop,1999-2000
