,Data,Time,Home,Score,Away,Venue,Season
103,Wed 19 Apr,19:45,London Wasps,25-31,Bristol Shoguns,Loftus Road,1999-2000
104,Sat 22 Apr,15:00,Gloucester,26-12,London Wasps,Kingsholm,1999-2000
105,Sat 22 Apr,15:00,London Irish,33-23,Bedford Blues,Twickenham Stoop,1999-2000
106,Sat 22 Apr,15:00,Northampton Saints,13-17,Bath Rugby,Franklin's Gardens,1999-2000
107,Sat 22 Apr,15:00,Sale Sharks,13-48,Leicester Tigers,Heywood Road,1999-2000
108,Sun 23 Apr,15:00,Bristol Shoguns,30-11,Newcastle Falcons,Memorial Stadium,1999-2000
109,Mon 24 Apr,15:00,Saracens,50-10,NEC Harlequins,Vicarage Road,1999-2000
110,Wed 26 Apr,19:30,Bedford Blues,7-21,London Wasps,Goldington Road,1999-2000
111,Sat 29 Apr,15:00,Bath Rugby,77-19,NEC Harlequins,Recreation Ground,1999-2000
112,Sat 29 Apr,15:00,Bedford Blues,19-57,Bristol Shoguns,Goldington Road,1999-2000
113,Sat 29 Apr,15:00,Leicester Tigers,26-21,Northampton Saints,Welford Road,1999-2000
114,Sat 29 Apr,15:00,London Irish,27-41,Saracens,Twickenham Stoop,1999-2000
115,Sun 30 Apr,15:00,London Wasps,58-5,Sale Sharks,Loftus Road,1999-2000
116,Sun 30 Apr,15:00,Newcastle Falcons,36-28,Gloucester,Kingston Park,1999-2000
117,Sat 6 May,15:00,Bath Rugby,40-27,Saracens,Recreation Ground,1999-2000
118,Sat 6 May,15:00,Gloucester,60-16,Bedford Blues,Kingsholm,1999-2000
119,Sat 6 May,15:00,NEC Harlequins,5-54,Leicester Tigers,Twickenham Stoop,1999-2000
120,Sat 6 May,15:00,Sale Sharks,45-17,Newcastle Falcons,Heywood Road,1999-2000
121,Tue 9 May,15:00,Northampton Saints,12-54,London Wasps,Franklin's Gardens,1999-2000
122,Wed 10 May,20:00,Bristol Shoguns,28-26,London Irish,Memorial Stadium,1999-2000
123,Sun 14 May,15:00,Bedford Blues,37-50,Sale Sharks,Goldington Road,1999-2000
124,Sun 14 May,15:00,Bristol Shoguns,23-30,Leicester Tigers,Memorial Stadium,1999-2000
125,Wed 17 May,19:45,London Irish,45-24,London Wasps,Twickenham Stoop,1999-2000
126,Wed 17 May,19:45,Saracens,29-24,Northampton Saints,Vicarage Road,1999-2000
127,Sat 20 May,15:00,London Irish,40-42,Gloucester,Twickenham Stoop,1999-2000
128,Sun 21 May,15:00,Leicester Tigers,43-25,Bath Rugby,Welford Road,1999-2000
129,Sun 21 May,15:00,London Wasps,35-32,NEC Harlequins,Loftus Road,1999-2000
130,Sun 21 May,15:00,Newcastle Falcons,23-32,Northampton Saints,Kingston Park,1999-2000
131,Sun 21 May,15:00,Saracens,37-10,Bristol Shoguns,Vicarage Road,1999-2000
0,Sat 19 Aug,14:00,London Wasps,22-24,Leicester Tigers,Loftus Road,2000-2001
1,Sat 19 Aug,15:00,NEC Harlequins,16-22,London Irish,Twickenham Stoop,2000-2001
2,Sat 19 Aug,15:00,Sale Sharks,33-32,Bath Rugby,Heywood Road,2000-2001
3,Sun 20 Aug,14:30,Newcastle Falcons,27-21,Northampton Saints,Kingston Park,2000-2001
4,Sun 20 Aug,15:00,Rotherham Titans,20-23,Bristol Shoguns,Clifton Lane,2000-2001
5,Sun 20 Aug,15:00,Saracens,50-20,Gloucester,Vicarage Road,2000-2001
6,Sat 26 Aug,14:00,Bristol Shoguns,23-34,Saracens,Memorial Stadium,2000-2001
7,Sat 26 Aug,15:00,Gloucester,18-19,Sale Sharks,Kingsholm,2000-2001
8,Sat 26 Aug,15:00,NEC Harlequins,26-13,Rotherham Titans,Twickenham Stoop,2000-2001
9,Sat 26 Aug,15:00,Northampton Saints,27-10,London Irish,Franklin's Gardens,2000-2001
10,Sun 27 Aug,14:30,Newcastle Falcons,22-25,Leicester Tigers,Kingston Park,2000-2001
11,Sun 27 Aug,15:00,London Wasps,12-36,Bath Rugby,Loftus Road,2000-2001
12,Sat 2 Sep,14:00,Leicester Tigers,33-19,Northampton Saints,Welford Road,2000-2001
13,Sat 2 Sep,14:15,Bath Rugby,38-22,NEC Harlequins,Recreation Ground,2000-2001
14,Sat 2 Sep,15:00,London Irish,27-22,Saracens,Madejski Stadium,2000-2001
15,Sat 2 Sep,15:00,Rotherham Titans,23-29,Gloucester,Clifton Lane,2000-2001
16,Sat 2 Sep,15:00,Sale Sharks,13-27,Newcastle Falcons,Heywood Road,2000-2001
17,Sun 3 Sep,15:00,London Wasps,23-17,Bristol Shoguns,Loftus Road,2000-2001
18,Wed 6 Sep,19:30,Bristol Shoguns,13-36,Sale Sharks,Memorial Stadium,2000-2001
19,Wed 6 Sep,19:30,Newcastle Falcons,18-19,Gloucester,Kingston Park,2000-2001
20,Wed 6 Sep,19:30,Northampton Saints,27-20,NEC Harlequins,Franklin's Gardens,2000-2001
21,Wed 6 Sep,19:45,Leicester Tigers,26-18,Rotherham Titans,Welford Road,2000-2001
22,Wed 6 Sep,19:45,Saracens,24-30,London Wasps,Vicarage Road,2000-2001
23,Sat 9 Sep,14:00,Gloucester,21-22,Bath Rugby,Kingsholm,2000-2001
24,Sat 9 Sep,15:00,NEC Harlequins,18-31,London Wasps,Twickenham Stoop,2000-2001
25,Sat 9 Sep,15:00,Sale Sharks,34-23,Northampton Saints,Heywood Road,2000-2001
26,Sun 10 Sep,14:30,Newcastle Falcons,34-19,Rotherham Titans,Kingston Park,2000-2001
27,Sun 10 Sep,15:00,Bristol Shoguns,26-30,London Irish,Memorial Stadium,2000-2001
28,Sun 10 Sep,15:00,Saracens,17-9,Leicester Tigers,Vicarage Road,2000-2001
29,Sat 16 Sep,14:15,Bath Rugby,19-12,Newcastle Falcons,Recreation Ground,2000-2001
30,Sat 16 Sep,14:15,NEC Harlequins,31-25,Bristol Shoguns,Twickenham Stoop,2000-2001
31,Sat 16 Sep,15:00,Leicester Tigers,33-20,London Irish,Welford Road,2000-2001
32,Sat 16 Sep,15:00,Rotherham Titans,19-32,Northampton Saints,Clifton Lane,2000-2001
33,Sat 16 Sep,15:00,Sale Sharks,6-51,Saracens,Heywood Road,2000-2001
34,Sun 17 Sep,15:00,London Wasps,43-23,Gloucester,Loftus Road,2000-2001
35,Sat 23 Sep,14:15,Newcastle Falcons,59-21,London Wasps,Kingston Park,2000-2001
36,Sat 23 Sep,15:00,Bristol Shoguns,24-20,Leicester Tigers,Memorial Stadium,2000-2001
37,Sat 23 Sep,15:00,Gloucester,27-23,NEC Harlequins,Kingsholm,2000-2001
38,Sat 23 Sep,15:00,Northampton Saints,24-13,Bath Rugby,Franklin's Gardens,2000-2001
39,Sun 24 Sep,15:00,London Irish,28-13,Sale Sharks,Madejski Stadium,2000-2001
40,Sun 24 Sep,15:00,Saracens,59-5,Rotherham Titans,Vicarage Road,2000-2001
41,Sat 30 Sep,14:15,Bath Rugby,21-33,Saracens,Recreation Ground,2000-2001
42,Sat 30 Sep,15:00,Gloucester,38-16,Bristol Shoguns,Kingsholm,2000-2001
43,Sat 30 Sep,15:00,NEC Harlequins,18-20,Newcastle Falcons,Twickenham Stoop,2000-2001
44,Sat 30 Sep,15:00,Rotherham Titans,19-18,London Irish,Clifton Lane,2000-2001
45,Sat 30 Sep,15:00,Sale Sharks,17-17,Leicester Tigers,Heywood Road,2000-2001
46,Sun 1 Oct,15:00,London Wasps,53-17,Northampton Saints,Loftus Road,2000-2001
47,Sat 18 Nov,12:30,Bristol Shoguns,32-21,Rotherham Titans,Memorial Stadium,2000-2001
48,Sat 18 Nov,12:30,Gloucester,16-15,Saracens,Kingsholm,2000-2001
49,Sat 18 Nov,13:00,Leicester Tigers,28-13,London Wasps,Welford Road,2000-2001
50,Sat 18 Nov,13:00,Northampton Saints,26-18,Newcastle Falcons,Franklin's Gardens,2000-2001
51,Sun 19 Nov,14:15,Bath Rugby,34-32,Sale Sharks,Recreation Ground,2000-2001
52,Sun 19 Nov,15:00,London Irish,21-16,NEC Harlequins,Madejski Stadium,2000-2001
53,Fri 24 Nov,20:00,NEC Harlequins,13-16,Leicester Tigers,Twickenham Stoop,2000-2001
54,Sat 25 Nov,12:30,Gloucester,26-6,London Irish,Kingsholm,2000-2001
55,Sat 25 Nov,13:00,Northampton Saints,24-6,Bristol Shoguns,Franklin's Gardens,2000-2001
56,Sun 26 Nov,14:15,Bath Rugby,42-19,Rotherham Titans,Recreation Ground,2000-2001
57,Sun 26 Nov,14:30,Newcastle Falcons,32-27,Saracens,Kingston Park,2000-2001
58,Sun 26 Nov,15:00,London Wasps,33-24,Sale Sharks,Loftus Road,2000-2001
59,Sat 2 Dec,12:30,Bristol Shoguns,16-9,Bath Rugby,Memorial Stadium,2000-2001
60,Sat 2 Dec,13:00,Leicester Tigers,31-28,Gloucester,Welford Road,2000-2001
61,Sat 2 Dec,13:00,Rotherham Titans,15-30,London Wasps,Clifton Lane,2000-2001
62,Sat 2 Dec,13:00,Sale Sharks,35-10,NEC Harlequins,Heywood Road,2000-2001
63,Sun 3 Dec,15:00,Saracens,10-30,Northampton Saints,Vicarage Road,2000-2001
64,Tue 5 Dec,20:00,London Irish,19-17,Newcastle Falcons,Madejski Stadium,2000-2001
65,Sat 16 Dec,14:00,Northampton Saints,34-15,Gloucester,Franklin's Gardens,2000-2001
66,Sat 16 Dec,15:00,Leicester Tigers,27-19,Bath Rugby,Welford Road,2000-2001
67,Sat 16 Dec,15:00,London Irish,14-13,London Wasps,Madejski Stadium,2000-2001
68,Sat 16 Dec,15:00,Sale Sharks,45-12,Rotherham Titans,Heywood Road,2000-2001
69,Sun 17 Dec,15:00,Bristol Shoguns,27-14,Newcastle Falcons,Memorial Stadium,2000-2001
70,Sun 17 Dec,15:00,Saracens,26-18,NEC Harlequins,Vicarage Road,2000-2001
71,Sat 23 Dec,14:00,Sale Sharks,25-26,Bristol Shoguns,Heywood Road,2000-2001
72,Sat 23 Dec,14:15,Bath Rugby,56-20,London Irish,Recreation Ground,2000-2001
73,Sat 23 Dec,14:15,Rotherham Titans,9-27,Leicester Tigers,Clifton Lane,2000-2001
74,Sat 23 Dec,15:00,Gloucester,28-13,Newcastle Falcons,Kingsholm,2000-2001
75,Sat 23 Dec,15:00,London Wasps,25-6,Saracens,Loftus Road,2000-2001
76,Sat 23 Dec,15:00,NEC Harlequins,25-34,Northampton Saints,Twickenham Stoop,2000-2001
77,Tue 26 Dec,14:15,Bath Rugby,16-17,Leicester Tigers,Recreation Ground,2000-2001
78,Wed 27 Dec,14:30,Newcastle Falcons,23-15,Bristol Shoguns,Kingston Park,2000-2001
79,Wed 27 Dec,15:00,NEC Harlequins,14-30,Saracens,Twickenham Stoop,2000-2001
80,Wed 27 Dec,19:30,Gloucester,12-15,Northampton Saints,Kingsholm,2000-2001
81,Wed 27 Dec,19:45,London Wasps,29-16,London Irish,Loftus Road,2000-2001
82,Sat 30 Dec,15:00,Northampton Saints,18-21,London Wasps,Franklin's Gardens,2000-2001
83,Sat 30 Dec,15:00,Saracens,11-31,Bath Rugby,Vicarage Road,2000-2001
84,Sat 6 Jan,14:15,Bath Rugby,36-13,Northampton Saints,Recreation Ground,2000-2001
85,Sat 6 Jan,14:15,Rotherham Titans,19-8,Saracens,Clifton Lane,2000-2001
86,Sat 6 Jan,15:00,Bristol Shoguns,18-9,Gloucester,Memorial Stadium,2000-2001
87,Tue 6 Feb,19:45,Leicester Tigers,17-10,Bristol Shoguns,Welford Road,2000-2001
88,Tue 6 Feb,20:00,NEC Harlequins,21-19,Gloucester,Twickenham Stoop,2000-2001
89,Sat 10 Feb,14:00,Northampton Saints,42-0,Rotherham Titans,Franklin's Gardens,2000-2001
90,Sat 10 Feb,15:00,Gloucester,3-28,London Wasps,Kingsholm,2000-2001
91,Sat 10 Feb,15:00,London Irish,9-28,Leicester Tigers,Madejski Stadium,2000-2001
92,Sun 11 Feb,14:30,Newcastle Falcons,24-23,Bath Rugby,Kingston Park,2000-2001
93,Sun 11 Feb,15:00,Bristol Shoguns,13-9,NEC Harlequins,Memorial Stadium,2000-2001
94,Sun 11 Feb,15:00,Saracens,44-30,Sale Sharks,Vicarage Road,2000-2001
95,Tue 20 Feb,20:00,London Irish,54-11,Rotherham Titans,Madejski Stadium,2000-2001
96,Sat 24 Feb,14:15,Bath Rugby,50-16,Gloucester,Recreation Ground,2000-2001
97,Sat 24 Feb,15:00,Leicester Tigers,56-15,Saracens,Welford Road,2000-2001
98,Sat 24 Feb,15:00,London Irish,26-26,Bristol Shoguns,Madejski Stadium,2000-2001
99,Sat 24 Feb,15:00,Northampton Saints,32-26,Sale Sharks,Franklin's Gardens,2000-2001
100,Tue 6 Mar,19:15,Newcastle Falcons,22-24,NEC Harlequins,Kingston Park,2000-2001
101,Tue 6 Mar,19:45,Leicester Tigers,24-12,Sale Sharks,Welford Road,2000-2001
102,Sat 10 Mar,14:15,Northampton Saints,9-12,Leicester Tigers,Franklin's Gardens,2000-2001
103,Sat 10 Mar,15:00,Gloucester,50-17,Rotherham Titans,Kingsholm,2000-2001
104,Sat 10 Mar,15:00,NEC Harlequins,24-22,Bath Rugby,Twickenham Stoop,2000-2001
105,Sun 11 Mar,14:30,Newcastle Falcons,48-24,Sale Sharks,Kingston Park,2000-2001
106,Sun 11 Mar,15:00,Bristol Shoguns,12-24,London Wasps,Memorial Stadium,2000-2001
107,Sun 11 Mar,15:00,Saracens,35-22,London Irish,Vicarage Road,2000-2001
108,Wed 14 Mar,20:00,London Irish,13-58,Bath Rugby,Madejski Stadium,2000-2001
109,Sat 17 Mar,12:15,Leicester Tigers,51-7,Newcastle Falcons,Welford Road,2000-2001
110,Sat 17 Mar,14:15,Bath Rugby,16-13,London Wasps,Recreation Ground,2000-2001
111,Sat 17 Mar,14:15,Rotherham Titans,12-32,NEC Harlequins,Clifton Lane,2000-2001
112,Sat 17 Mar,15:00,London Irish,13-10,Northampton Saints,Madejski Stadium,2000-2001
113,Sat 17 Mar,15:00,Sale Sharks,16-24,Gloucester,Heywood Road,2000-2001
114,Sun 18 Mar,15:00,Saracens,24-13,Bristol Shoguns,Vicarage Road,2000-2001
115,Sat 24 Mar,14:15,Rotherham Titans,13-39,Sale Sharks,Clifton Lane,2000-2001
116,Wed 28 Mar,19:45,London Wasps,44-7,Newcastle Falcons,Loftus Road,2000-2001
117,Sat 31 Mar,14:15,Bath Rugby,19-16,Bristol Shoguns,Recreation Ground,2000-2001
118,Sat 31 Mar,15:00,Gloucester,22-13,Leicester Tigers,Kingsholm,2000-2001
119,Sat 31 Mar,15:00,NEC Harlequins,36-10,Sale Sharks,Twickenham Stoop,2000-2001
120,Sat 31 Mar,15:00,Northampton Saints,25-14,Saracens,Franklin's Gardens,2000-2001
121,Sun 1 Apr,14:30,Newcastle Falcons,42-35,London Irish,Kingston Park,2000-2001
122,Sun 1 Apr,15:00,London Wasps,58-3,Rotherham Titans,Loftus Road,2000-2001
123,Tue 10 Apr,18:00,Rotherham Titans,36-39,Newcastle Falcons,Clifton Lane,2000-2001
124,Tue 10 Apr,19:30,Sale Sharks,43-18,London Irish,Heywood Road,2000-2001
125,Tue 10 Apr,19:45,London Wasps,38-19,NEC Harlequins,Loftus Road,2000-2001
126,Sat 14 Apr,14:15,Sale Sharks,29-59,London Wasps,Heywood Road,2000-2001
127,Sat 14 Apr,15:00,Leicester Tigers,37-5,NEC Harlequins,Welford Road,2000-2001
128,Sat 14 Apr,15:00,Rotherham Titans,12-68,Bath Rugby,Clifton Lane,2000-2001
129,Sun 15 Apr,15:00,Saracens,34-29,Newcastle Falcons,Vicarage Road,2000-2001
130,Mon 16 Apr,15:00,Bristol Shoguns,46-16,Northampton Saints,Memorial Stadium,2000-2001
131,Mon 16 Apr,15:00,London Irish,35-10,Gloucester,Madejski Stadium,2000-2001
0,Sat 1 Sep,15:00,Gloucester,22-9,Northampton Saints,Kingsholm,2001-2002
1,Sat 1 Sep,15:00,NEC Harlequins,21-32,London Irish,Twickenham Stoop,2001-2002
2,Sun 2 Sep,14:00,Newcastle Falcons,19-16,Leicester Tigers,Kingston Park,2001-2002
3,Sun 2 Sep,14:30,Leeds Tykes,10-6,Bath Rugby,Headingley Carnegie,2001-2002
4,Sun 2 Sep,15:00,Bristol Shoguns,25-35,Sale Sharks,Memorial Stadium,2001-2002
5,Sun 2 Sep,15:00,London Wasps,12-8,Saracens,Loftus Road,2001-2002
6,Sat 8 Sep,14:00,NEC Harlequins,32-38,Bristol Shoguns,Twickenham Stoop,2001-2002
7,Sat 8 Sep,14:00,Saracens,34-30,Gloucester,Vicarage Road,2001-2002
8,Sat 8 Sep,14:15,Leicester Tigers,45-15,London Wasps,Welford Road,2001-2002
9,Sat 8 Sep,15:00,Northampton Saints,26-7,Bath Rugby,Franklin's Gardens,2001-2002
10,Sat 8 Sep,15:00,Sale Sharks,37-11,Newcastle Falcons,Heywood Road,2001-2002
11,Sun 9 Sep,15:00,London Irish,42-14,Leeds Tykes,Madejski Stadium,2001-2002
12,Sat 15 Sep,14:15,Bath Rugby,20-27,Saracens,Recreation Ground,2001-2002
13,Sat 15 Sep,15:00,Gloucester,18-40,Leicester Tigers,Kingsholm,2001-2002
14,Sun 16 Sep,14:30,Leeds Tykes,6-26,Northampton Saints,Headingley Carnegie,2001-2002
15,Sun 16 Sep,14:30,Newcastle Falcons,6-6,NEC Harlequins,Kingston Park,2001-2002
16,Sun 16 Sep,15:00,Bristol Shoguns,19-19,London Irish,Memorial Stadium,2001-2002
17,Sun 16 Sep,15:00,London Wasps,21-40,Sale Sharks,Loftus Road,2001-2002
18,Sat 22 Sep,13:00,Leicester Tigers,48-9,Bath Rugby,Welford Road,2001-2002
19,Sat 22 Sep,15:00,NEC Harlequins,33-13,London Wasps,Twickenham Stoop,2001-2002
20,Sat 22 Sep,15:00,Sale Sharks,21-44,Gloucester,Heywood Road,2001-2002
21,Sun 23 Sep,15:00,Bristol Shoguns,34-29,Leeds Tykes,Memorial Stadium,2001-2002
22,Sun 23 Sep,15:00,London Irish,18-22,Newcastle Falcons,Madejski Stadium,2001-2002
23,Sun 23 Sep,15:00,Saracens,25-20,Northampton Saints,Vicarage Road,2001-2002
24,Sat 13 Oct,14:15,Bath Rugby,20-17,Sale Sharks,Recreation Ground,2001-2002
25,Sat 13 Oct,15:00,Gloucester,33-7,NEC Harlequins,Kingsholm,2001-2002
26,Sat 13 Oct,15:00,Northampton Saints,11-21,Leicester Tigers,Franklin's Gardens,2001-2002
27,Sun 14 Oct,13:30,London Wasps,15-20,London Irish,Loftus Road,2001-2002
28,Sun 14 Oct,14:30,Leeds Tykes,27-14,Saracens,Headingley Carnegie,2001-2002
29,Sun 14 Oct,14:30,Newcastle Falcons,37-20,Bristol Shoguns,Kingston Park,2001-2002
30,Sat 20 Oct,12:35,Sale Sharks,34-14,Northampton Saints,Heywood Road,2001-2002
31,Sat 20 Oct,13:00,Leicester Tigers,36-10,Saracens,Welford Road,2001-2002
32,Sat 20 Oct,13:00,NEC Harlequins,15-8,Bath Rugby,Twickenham Stoop,2001-2002
33,Sun 21 Oct,14:30,Newcastle Falcons,19-8,Leeds Tykes,Kingston Park,2001-2002
34,Sun 21 Oct,15:00,Bristol Shoguns,43-22,London Wasps,Memorial Stadium,2001-2002
35,Sun 21 Oct,15:00,London Irish,19-15,Gloucester,Madejski Stadium,2001-2002
36,Fri 9 Nov,19:30,Northampton Saints,13-13,NEC Harlequins,Franklin's Gardens,2001-2002
37,Sat 10 Nov,12:30,Gloucester,51-17,Bristol Shoguns,Kingsholm,2001-2002
38,Sun 11 Nov,14:15,Bath Rugby,19-11,London Irish,Recreation Ground,2001-2002
39,Sun 11 Nov,14:30,Leeds Tykes,37-16,Leicester Tigers,Headingley Carnegie,2001-2002
40,Sun 11 Nov,15:00,London Wasps,30-33,Newcastle Falcons,Loftus Road,2001-2002
41,Sun 11 Nov,15:00,Saracens,26-25,Sale Sharks,Vicarage Road,2001-2002
42,Fri 16 Nov,19:45,NEC Harlequins,43-6,Saracens,Twickenham Stoop,2001-2002
43,Sat 17 Nov,12:30,Sale Sharks,3-37,Leicester Tigers,Heywood Road,2001-2002
44,Sun 18 Nov,14:05,London Wasps,64-14,Leeds Tykes,Loftus Road,2001-2002
45,Sun 18 Nov,14:30,Newcastle Falcons,18-16,Gloucester,Kingston Park,2001-2002
46,Sun 18 Nov,15:00,Bristol Shoguns,31-17,Bath Rugby,Memorial Stadium,2001-2002
47,Sun 18 Nov,15:00,London Irish,48-12,Northampton Saints,Madejski Stadium,2001-2002
48,Thu 22 Nov,19:45,Saracens,13-55,London Irish,Vicarage Road,2001-2002
49,Fri 23 Nov,19:30,Gloucester,43-13,London Wasps,Kingsholm,2001-2002
50,Fri 23 Nov,19:30,Leicester Tigers,23-18,NEC Harlequins,Welford Road,2001-2002
51,Sun 25 Nov,14:15,Bath Rugby,24-9,Newcastle Falcons,Recreation Ground,2001-2002
52,Sun 25 Nov,14:30,Leeds Tykes,20-47,Sale Sharks,Headingley Carnegie,2001-2002
53,Sun 25 Nov,14:30,Northampton Saints,20-23,Bristol Shoguns,Franklin's Gardens,2001-2002
54,Sat 1 Dec,14:00,Gloucester,58-17,Leeds Tykes,Kingsholm,2001-2002
55,Sat 1 Dec,15:00,NEC Harlequins,16-23,Sale Sharks,Twickenham Stoop,2001-2002
56,Sun 2 Dec,14:30,Newcastle Falcons,13-28,Northampton Saints,Kingston Park,2001-2002
57,Sun 2 Dec,15:00,Bristol Shoguns,22-25,Saracens,Memorial Stadium,2001-2002
58,Sun 2 Dec,15:00,London Irish,15-30,Leicester Tigers,Madejski Stadium,2001-2002
59,Sun 2 Dec,15:00,London Wasps,23-10,Bath Rugby,Loftus Road,2001-2002
60,Sat 8 Dec,14:05,Sale Sharks,19-19,London Irish,Heywood Road,2001-2002
61,Sat 8 Dec,14:15,Bath Rugby,12-9,Gloucester,Recreation Ground,2001-2002
62,Sat 8 Dec,14:15,Leicester Tigers,26-19,Bristol Shoguns,Welford Road,2001-2002
63,Sat 8 Dec,15:00,Northampton Saints,23-10,London Wasps,Franklin's Gardens,2001-2002
64,Sun 9 Dec,14:00,Saracens,19-24,Newcastle Falcons,Vicarage Road,2001-2002
65,Sun 9 Dec,14:30,Leeds Tykes,23-18,NEC Harlequins,Headingley Carnegie,2001-2002
66,Sat 22 Dec,14:00,NEC Harlequins,21-38,Leicester Tigers,Twickenham Stoop,2001-2002
67,Sun 23 Dec,15:00,London Irish,30-23,Saracens,Madejski Stadium,2001-2002
68,Thu 27 Dec,15:00,Leicester Tigers,33-10,Sale Sharks,Welford Road,2001-2002
69,Sat 29 Dec,14:00,Bath Rugby,15-9,Bristol Shoguns,Recreation Ground,2001-2002
70,Sat 29 Dec,14:00,Gloucester,29-25,Newcastle Falcons,Kingsholm,2001-2002
71,Sat 29 Dec,15:00,Northampton Saints,24-15,London Irish,Franklin's Gardens,2001-2002
72,Sun 30 Dec,14:30,Leeds Tykes,18-28,London Wasps,Headingley Carnegie,2001-2002
73,Sun 30 Dec,15:00,Saracens,39-25,NEC Harlequins,Vicarage Road,2001-2002
74,Sat 26 Jan,15:00,NEC Harlequins,16-24,Northampton Saints,Twickenham Stoop,2001-2002
75,Sun 27 Jan,13:00,Newcastle Falcons,22-23,London Wasps,Kingston Park,2001-2002
76,Sat 9 Feb,14:15,Bath Rugby,18-9,NEC Harlequins,Recreation Ground,2001-2002
77,Sat 9 Feb,15:00,Gloucester,29-22,London Irish,Kingsholm,2001-2002
78,Sat 9 Feb,15:00,Northampton Saints,10-20,Sale Sharks,Franklin's Gardens,2001-2002
79,Sat 9 Feb,18:30,Saracens,7-48,Leicester Tigers,Vicarage Road,2001-2002
80,Sun 10 Feb,14:30,Leeds Tykes,9-19,Newcastle Falcons,Headingley Carnegie,2001-2002
81,Sun 10 Feb,15:00,London Wasps,34-16,Bristol Shoguns,Loftus Road,2001-2002
82,Sat 23 Feb,13:30,Sale Sharks,20-14,Bath Rugby,Heywood Road,2001-2002
83,Sat 23 Feb,14:15,Leicester Tigers,17-6,Northampton Saints,Welford Road,2001-2002
84,Sat 23 Feb,15:00,NEC Harlequins,6-18,Gloucester,Twickenham Stoop,2001-2002
85,Sun 24 Feb,15:00,Bristol Shoguns,33-17,Newcastle Falcons,Memorial Stadium,2001-2002
86,Sun 24 Feb,15:00,London Irish,31-17,London Wasps,Madejski Stadium,2001-2002
87,Sun 24 Feb,15:00,Saracens,15-37,Leeds Tykes,Vicarage Road,2001-2002
88,Sat 9 Mar,14:15,Bath Rugby,9-27,Leicester Tigers,Recreation Ground,2001-2002
89,Sat 9 Mar,15:00,Gloucester,42-14,Sale Sharks,Kingsholm,2001-2002
90,Sun 10 Mar,14:30,Leeds Tykes,24-6,Bristol Shoguns,Headingley Carnegie,2001-2002
91,Sat 16 Mar,15:00,Leicester Tigers,27-10,Gloucester,Welford Road,2001-2002
92,Sat 16 Mar,15:00,London Irish,24-13,Bristol Shoguns,Madejski Stadium,2001-2002
93,Sat 16 Mar,15:00,NEC Harlequins,33-19,Newcastle Falcons,Twickenham Stoop,2001-2002
94,Sat 16 Mar,15:00,Northampton Saints,34-14,Leeds Tykes,Franklin's Gardens,2001-2002
95,Sat 16 Mar,15:00,Sale Sharks,27-22,London Wasps,Heywood Road,2001-2002
96,Sun 17 Mar,15:00,Saracens,33-11,Bath Rugby,Vicarage Road,2001-2002
97,Sat 30 Mar,14:00,Gloucester,36-13,Saracens,Kingsholm,2001-2002
98,Sat 30 Mar,14:15,Bath Rugby,11-29,Northampton Saints,Recreation Ground,2001-2002
99,Sun 31 Mar,14:30,Leeds Tykes,24-29,London Irish,Headingley Carnegie,2001-2002
100,Sun 31 Mar,14:30,Newcastle Falcons,30-10,Sale Sharks,Kingston Park,2001-2002
101,Sun 31 Mar,15:00,Bristol Shoguns,43-27,NEC Harlequins,Memorial Stadium,2001-2002
102,Sun 31 Mar,15:00,London Wasps,36-24,Leicester Tigers,Loftus Road,2001-2002
103,Wed 10 Apr,19:30,London Wasps,44-9,Gloucester,Loftus Road,2001-2002
104,Wed 10 Apr,20:00,London Irish,31-15,Bath Rugby,Madejski Stadium,2001-2002
105,Sat 13 Apr,14:15,Bath Rugby,23-12,Leeds Tykes,Recreation Ground,2001-2002
106,Sat 13 Apr,14:30,Northampton Saints,58-21,Gloucester,Franklin's Gardens,2001-2002
107,Sat 13 Apr,15:00,Leicester Tigers,20-12,Newcastle Falcons,Welford Road,2001-2002
108,Sat 13 Apr,15:00,Sale Sharks,53-47,Bristol Shoguns,Heywood Road,2001-2002
109,Sun 14 Apr,15:00,London Irish,18-18,NEC Harlequins,Madejski Stadium,2001-2002
110,Sun 14 Apr,15:00,Saracens,14-20,London Wasps,Vicarage Road,2001-2002
111,Fri 19 Apr,19:45,Leicester Tigers,31-10,Leeds Tykes,Welford Road,2001-2002
112,Fri 19 Apr,19:45,Sale Sharks,23-3,Saracens,Heywood Road,2001-2002
113,Sun 21 Apr,15:00,Bristol Shoguns,40-41,Gloucester,Memorial Stadium,2001-2002
114,Fri 26 Apr,19:35,London Wasps,16-6,NEC Harlequins,Loftus Road,2001-2002
115,Sat 27 Apr,15:00,Northampton Saints,52-27,Saracens,Franklin's Gardens,2001-2002
116,Sun 28 Apr,14:30,Newcastle Falcons,36-9,Bath Rugby,Kingston Park,2001-2002
117,Fri 3 May,19:45,NEC Harlequins,40-16,Leeds Tykes,Twickenham Stoop,2001-2002
118,Sat 4 May,15:00,Gloucester,68-12,Bath Rugby,Kingsholm,2001-2002
119,Sat 4 May,15:00,London Wasps,17-6,Northampton Saints,Loftus Road,2001-2002
120,Sun 5 May,14:30,Newcastle Falcons,47-18,Saracens,Kingston Park,2001-2002
