Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2002-03-21,,,,,,1339.654451248192,,1778.1296952740272,1478.1738151507811,,,,1496.1543061461475,,,1422.8459682439914,1460.7197162071652,,,
2002-04-04,1469.8716529216122,,1405.6286036373992,,1484.831027473194,,1312.2556118930845,,,,,1434.9408535324624,,,,,,1505.7924865697034,,
2002-04-11,,,,,,,,,1497.1394428065084,,,,,,,,,1513.6361742913339,,
2002-04-18,1466.451033426474,,,,,,,1761.6392621866678,1488.8140101685156,,,,1519.7225632452814,,,1422.6824213228158,1438.2947013377857,,,
2002-04-25,,,1383.3712966865412,,,,,1762.550586617622,,,,,,,,1431.7011062354618,,,,
2002-05-02,,,,,,,,,,,,1442.7151238118638,1525.5869852813587,,,,,1531.8081104754306,,
2002-05-09,,,1397.6085503483005,,1491.279323638642,1345.0767429547905,,,1470.5830524178741,,,1455.1922234916483,,,,1454.3857341758235,,1540.1155877659976,,
2002-05-16,1435.8070281493647,,,,,,1285.248332252418,1744.3598261357558,,,,,1536.2447624134286,,,1459.776866949412,1398.2605389068985,,,
2002-09-05,,,1391.7624912486654,,,1328.8386719519533,1307.217665761938,,1441.86555469037,,,1465.3314901493195,,,,1470.8962189639765,,,,
2002-09-12,,,,,1518.9906754981955,,1320.4238027995207,1723.6608103893293,,,,,1531.8185408117686,,,,1424.8561048325118,1545.9866463244116,,
2002-09-19,1442.821199695906,,1375.85059381975,,,1310.8463722746264,,,1437.0442764629895,,,1444.1883060560433,,,,1481.0891776713029,,,,
2002-09-26,,,,,1537.7491515007714,1323.7491098203461,1338.1847047755496,1708.7880035227095,,,,,1548.8689564887695,,,,,1551.333644099164,,
2002-10-03,1436.690982333948,,1391.1006486500962,,,,,,1412.080005196689,,,1447.1626212993256,,,,1484.3852034702536,1424.8670530761472,,,
2002-10-10,,,,,1543.5613253132722,1332.372620848463,1343.1326766110126,1691.9189788123447,,,,,1544.9955483931585,,,1490.7313006057193,,,,
2002-10-31,1414.8550468224496,,,,,,,,1394.105374683838,,,1444.6200738166544,,,,,1412.3781042281116,1562.1416611077213,,
2002-11-07,,,,,1544.593115608791,1343.7061111715145,1372.4709421671948,1703.863954470518,,,,1426.5782299811335,,,,1485.9441477258756,,,,
2002-11-14,1414.8529128762855,,1385.2322456969848,,,,,,1400.27435812522,,,,1536.402002370125,,,,1408.9165817237495,1548.6693849731257,,
2002-11-21,,,1381.7320169702625,,,1352.8675618949346,1395.1351629584094,1719.1713854386935,,,,1399.7941007352506,,,,1481.1407163827948,,,,
2002-11-28,1413.3762652496405,,,,1556.4941779674136,,,,1422.7786770968667,,,,1526.5294242637162,,,,1410.812335040078,1514.703436715047,,
2002-12-05,,,,,1561.3149428291672,1359.4082606280992,1378.6351236080914,1679.156202631666,,,,1375.1504643431217,,,,1505.1992773950046,,,,
2003-01-02,1414.423495784319,,1427.5436780049424,,,,,,1425.141031215234,,,,1531.4982986889834,,,,1408.0289517282638,1540.7195984568295,,
2003-01-09,,,,,1584.723462637186,1363.4498444668386,1380.7774447679813,1667.9448261522518,,,,,1511.9616280814587,,,1498.6285633499242,,,,
2003-02-06,1396.9954612455947,,1398.8651218484015,,,,,,1430.0036117775696,,,1371.4865271176136,,,,,1395.1924482937338,1541.1836603565603,,
2003-02-13,,,,,1598.4774129721393,1343.9793383155,1381.043835494105,1677.7810274434885,,,,,1509.5314133770817,,,,,1546.529388194882,,
2003-03-06,1401.8429440883747,,1403.3903721480845,,,,,,,,,,,,,,,1550.8354771250622,,
2003-03-20,1389.0799294507328,,1393.7217636944333,,,,,,1405.5967218654987,,,1402.9237154072935,,,,1528.8618766310994,1370.8453849283173,,,
